Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GAPDH	637.1009160259905	1.9591253643462945	0.3696514021107933	5.299926777388763	1.1584913270634989e-7	1.1222317160988573e-6
NME5	487.74885941731355	1.959587923976569	0.28613644753540973	6.848438711164427	7.466030777849088e-12	1.0863734103243655e-10
RNF157	596.9856296525913	1.9630450063020628	0.2605462910282013	7.534342548325067	4.908013153672393e-14	8.292337458172469e-13
EFCAB6	1532.723989925849	1.9657241543349175	0.34425590691341706	5.710066595398498	1.1293197462223074e-8	1.2135627906454746e-7
HCFC2	254.27223966044792	1.9697380582042063	0.3305575009034745	5.958836368318823	2.540403073860261e-9	2.9340129226205858e-8
AMOTL1	1687.2232976070281	1.9721445325470475	0.2578638164940361	7.648008004227531	2.0411651189638767e-14	3.5208572007172513e-13
PTPRE	4747.025680866423	1.975934690113033	0.2536286548901517	7.790660290213753	6.665991508401108e-15	1.2013366571546622e-13
HHLA3	107.89853368396678	1.9760665644192452	0.43604378021574813	4.531807708486327	5.8481072647402645e-6	4.506819767807185e-5
C6orf10	1310.6649856108525	1.9793996667755598	0.35981657942179135	5.501135244952758	3.773536047555829e-8	3.842814374308147e-7
PARVB	478.98015968220034	1.9803248476200719	0.30391622149987396	6.51602220456302	7.219629256700991e-11	9.578742773787105e-10
ANKRD13A	1127.8578875780015	1.9813312244703216	0.2549913902842399	7.770188719947462	7.836927575489524e-15	1.4034939759838657e-13
CADPS	25764.8595077249	1.9844639889566744	0.21477933006962932	9.239548276425534	2.4754005661159184e-20	6.01501477449038e-19
CYTH1	2610.5034828409694	1.9848322463608359	0.23490290206043968	8.4495858882584	2.9233787362558926e-17	6.013956660637717e-16
SLC8A1-AS1	1405.8329890296127	1.9936391057388554	0.3103544415407747	6.423749232784636	1.3295816858505526e-10	1.7295558456316099e-9
SLC4A8	4697.862181324936	1.995082829022275	0.25916528322975513	7.698109886321444	1.3809359597015217e-14	2.4206254345284726e-13
